Datum:;2016-05-16 11:49:06
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;259
Abtastzeitraum:;40.018
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.0
40.018;0.0000;0.0
80.036;0.0000;0.0
120.054;0.0000;0.0
160.072;0.0000;0.0
200.090;0.0000;0.0
240.108;0.0000;0.0
280.126;0.0000;0.0
320.144;0.0000;0.0
360.162;0.0000;0.0
400.180;0.0000;0.0
440.198;0.0000;0.0
480.216;0.0000;0.0
520.234;0.0000;0.0
560.252;0.0000;0.0
600.270;0.0000;0.0
640.288;0.0000;0.0
680.306;0.0000;0.0
720.324;0.0000;0.0
760.342;0.0000;0.0
800.360;0.0000;0.0
840.378;0.0000;0.0
880.396;0.0000;0.0
920.414;0.0000;0.0
960.432;0.0000;0.0
1000.450;0.0000;0.0
1040.468;0.0000;0.0
1080.486;0.0000;0.0
1120.504;0.0000;0.0
1160.522;0.0000;0.0
1200.540;0.0000;0.0
1240.558;0.0000;0.0
1280.576;0.0000;0.0
1320.594;0.0000;0.0
1360.612;0.0000;0.0
1400.630;0.0000;0.0
1440.648;0.0000;0.0
1480.666;0.0000;0.0
1520.684;0.0000;0.0
1560.702;0.0000;0.0
1600.720;0.0185;0.0
1640.738;1.0647;0.0
1680.756;1.3618;95.4
1720.774;1.4468;207.1
1760.792;1.4708;313.0
1800.810;1.4756;416.6
1840.828;1.4801;518.6
1880.846;1.4797;617.4
1920.864;1.4807;718.1
1960.882;1.4785;819.2
2000.900;1.4792;919.2
2040.918;1.4788;1018.5
2080.936;1.4810;1117.9
2120.954;1.4800;1215.1
2160.972;1.4790;1312.7
2200.990;1.4779;1410.8
2241.008;1.4773;1508.5
2281.026;1.4782;1605.0
2321.044;1.4788;1701.4
2361.062;1.4780;1797.0
2401.080;1.4785;1893.0
2441.098;1.4775;1986.8
2481.116;1.4769;2082.4
2521.134;1.4761;2176.0
2561.152;1.4766;2272.3
2601.170;1.4735;2365.4
2641.188;1.4748;2461.3
2681.206;1.4738;2555.2
2721.224;1.4726;2649.2
2761.242;1.4732;2739.1
2801.260;1.4714;2830.2
2841.278;1.4711;2920.5
2881.296;1.4710;3011.0
2921.314;1.4700;3101.7
2961.332;1.4686;3192.1
3001.350;1.4690;3281.1
3041.368;1.4679;3370.5
3081.386;1.4681;3457.3
3121.404;1.4660;3546.4
3161.422;1.4662;3635.9
3201.440;1.4622;3799.8
3241.458;1.4607;3997.3
3281.476;1.4610;4114.6
3321.494;1.4613;4180.0
3361.512;1.4609;4247.7
3401.530;1.4619;4323.6
3441.548;1.4569;4415.1
3481.566;1.4585;4510.3
3521.584;1.4562;4598.0
3561.602;1.4534;4682.3
3601.620;1.4511;4764.0
3641.638;1.4541;4840.6
3681.656;1.4491;4918.6
3721.674;1.4518;4993.0
3761.692;1.4525;5070.3
3801.710;1.4516;5150.2
3841.728;1.4511;5227.6
3881.746;1.4501;5301.9
3921.764;1.4472;5384.0
