Datum:;2016-05-29 17:50:54
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;476
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
0.000;0.0000;0.1
27.489;0.0000;0.1
54.978;0.0000;0.1
82.467;0.0000;0.1
109.956;0.0000;0.1
137.445;0.0000;0.1
164.934;0.0000;0.1
192.423;0.0000;0.1
219.912;0.0000;0.1
247.401;0.0000;0.1
274.890;0.0000;0.1
302.379;0.0000;0.1
329.868;0.0000;0.1
357.357;0.0000;0.1
384.846;0.0000;0.1
412.335;0.0000;0.1
439.824;0.0000;0.1
467.313;0.0000;0.1
494.802;0.0000;0.1
522.291;0.0000;0.1
549.780;0.0000;0.1
577.269;0.0000;0.1
604.758;0.0000;0.1
632.247;0.0000;0.1
659.736;0.0000;0.1
687.225;0.0000;0.1
714.714;0.0000;0.0
742.203;0.0000;0.0
769.692;0.0000;0.0
797.181;0.0000;0.0
824.670;0.0000;0.0
852.159;0.0000;0.0
879.648;0.0000;0.0
907.137;0.0000;0.0
934.626;0.0000;0.0
962.115;0.0000;0.0
989.604;0.0000;0.0
1017.093;0.1246;4.0
1044.582;0.6051;3.3
1072.071;0.9044;22.4
1099.560;1.0294;78.3
1127.049;1.0783;236.2
1154.538;1.1014;437.7
1182.027;1.1121;611.4
1209.516;1.1183;741.2
1237.005;1.1210;824.8
1264.494;1.1229;878.2
1291.983;1.1235;903.2
1319.472;1.1233;935.4
1346.961;1.1237;988.5
1374.450;1.1227;1029.2
1401.939;1.1242;1048.3
1429.428;1.1231;1079.2
1456.917;1.1235;1122.8
1484.406;1.1242;1147.9
1511.895;1.1223;1186.7
1539.384;1.1237;1232.5
1566.873;1.1224;1274.3
1594.362;1.1229;1331.7
1621.851;1.1225;1372.2
1649.340;1.1234;1425.5
1676.829;1.1223;1463.9
1704.318;1.1228;1506.1
1731.807;1.1220;1548.5
1759.296;1.1227;1595.7
1786.785;1.1210;1644.1
1814.274;1.1208;1686.4
1841.763;1.1226;1735.5
1869.252;1.1218;1777.3
1896.741;1.1213;1814.0
1924.230;1.1213;1858.7
1951.719;1.1198;1908.7
1979.208;1.1205;1954.2
2006.697;1.1208;1998.3
2034.186;1.1188;2048.2
2061.675;1.1197;2100.5
2089.164;1.1195;2150.8
2116.653;1.1197;2198.8
2144.142;1.1205;2246.8
2171.631;1.1195;2295.1
2199.120;1.1194;2341.5
2226.609;1.1189;2389.1
2254.098;1.1176;2436.4
2281.587;1.1183;2479.9
2309.076;1.1179;2521.0
2336.565;1.1175;2564.8
2364.054;1.1179;2611.0
2391.543;1.1186;2655.5
2419.032;1.1181;2698.0
2446.521;1.1179;2742.3
2474.010;1.1163;2789.0
2501.499;1.1159;2832.3
2528.988;1.1160;2875.1
2556.477;1.1156;2917.8
2583.966;1.1160;2961.9
2611.455;1.1151;3011.8
2638.944;1.1133;3062.5
2666.433;1.1153;3108.6
2693.922;1.1142;3159.4
